materials;participant;is_test_trial;item;condition;position;question order;rating1;content;region_Morava;age_under_27;reading_time_over_60_minutes;negexp;construction
AcceptContextTask;3;no;1;ATop;43;1;1;"*Kontext*: Profesor Novák učí předmět, do kterého chodí bakaláři, magistři i doktorandi. Doktorandi zvládnou zkoušku téměř všichni, magistři tak z poloviny, bakaláři jen výjimečně.

*Věta*: Včerejší zkoušku u profesora Nováka nesložili ani bakaláři.";TRUE;TRUE;TRUE;ani;top
AcceptContextTask;3;no;2;ZBott;45;1;1;"*Kontext*: Za opravení pračky si za den opravář vezme 3000 Kč, někdy 5000 Kč a ve výjimečných případech 9000 Kč.

*Věta*: Včera si opravář za spravení pračky nevzal žádných 3000 Kč.";TRUE;TRUE;TRUE;zadny;bottom
AcceptContextTask;3;no;3;ZTop;47;1;1;"*Kontext*: Cesta z centra na periferii taxíkem stojí 200 Kč, někdy 250 Kč a maximálně 300 Kč.

*Věta*: Včera si taxikář za cestu z centra na periférii nevzal žádných 300 Kč.";TRUE;TRUE;TRUE;zadny;top
AcceptContextTask;3;no;4;ABott;61;1;1;"*Kontext*: Cesta vlakem z města do hor stojí podle toho, jestli jedete osobním vlakem, rychlíkem, případně 1. třídou zhruba 500 Kč, 700 Kč nebo až 900 Kč.

*Věta*: Včerejší cesta vlakem z města do hor nás nestála ani 500 Kč.";TRUE;TRUE;TRUE;ani;bottom
AcceptContextTask;3;no;5;ATop;55;1;7;"*Kontext*: Za knížku o historii města zaplatíš v tomhle antikvariátu 500 Kč, 1500 Kč nebo až 3000 Kč.

*Věta*: Včera jsem v tomhle antikvariátu koupil knížku o historii města a nestálo mě to ani 3000 Kč.";TRUE;TRUE;TRUE;ani;top
AcceptContextTask;3;no;6;ZBott;51;1;1;"*Kontext*: Na tuhle atrakci můžou šestileté děti v doprovodu rodičů, osmileté (pokud mají víc jak 130 cm) a desetileté bez jakýchkoliv podmínek.

*Věta*: Na tu atrakci nemůžeš, protože protože ti není žádných 6 let.";TRUE;TRUE;TRUE;zadny;bottom
AcceptContextTask;3;no;7;ZTop;41;1;1;"*Kontext*: Hudební festivaly na tomhle bývalém letišti trvají 3 dny, někdy 5 dnů, ale maximum je týden.

*Věta*: Poslední festival na bývalém letišti netrval žádný týden.";TRUE;TRUE;TRUE;zadny;top
AcceptContextTask;3;no;8;ABott;53;1;7;"*Kontext*: Tenhle lék pomáhá od bolesti a v závislosti na mnoha faktorech úleva trvá 4 hodiny, někdy 8 hodin a maximální doložená účinnost je 12 hodin.

*Věta*: Ten lék mi včera neulevil od bolesti ani na 3 hodiny.";TRUE;TRUE;TRUE;ani;bottom
AcceptContextTask;3;no;9;ATop;63;1;3;"*Kontext*: Na přezutí pneumatik v pneuservisu si počkáte hodinu, někdy dvě hodiny a při velkém návalu i půl dne.

*Věta*: Včerejší přezutí pneumatik v pneuservisu netrvalo ani půl dne.";TRUE;TRUE;TRUE;ani;top
AcceptContextTask;3;no;10;ZBott;59;1;2;"*Kontext*: Cesta z jednoho konce města na druhý trvá veřejnou dopravou 50 minut, někdy hodinu a půl, ale můžete to jet i 3 hodiny.

*Věta*: Dneska ráno mi cesta z jednoho konce města na druhý dopravou nezabrala žádných 50 minut.";TRUE;TRUE;TRUE;zadny;bottom
AcceptContextTask;3;no;11;ZTop;57;1;2;"*Kontext*: V tomhle lese najdeš za hodinu tak 20, někdy 30 a za dobrého počasí i 50 hub.

*Věta*: Včera jsem v tomhle lese nenašel žádných 50 hub.";TRUE;TRUE;TRUE;zadny;top
AcceptContextTask;3;no;12;ABott;49;1;5;"*Kontext*: Šikovný trpaslík ze vsi najde v těchhle dolech za den 1, 2 někdy i 3 diamanty.

*Věta*: Jeden šikovný trpaslík ze vsi nenašel včera v dolech ani 1 diamant.";TRUE;TRUE;TRUE;ani;bottom
AcceptContextTask;4;no;1;ZBott;62;1;2;"*Kontext*: Profesor Novák učí předmět, do kterého chodí bakaláři, magistři i doktorandi. Doktorandi zvládnou zkoušku téměř všichni, magistři tak z poloviny, bakaláři jen výjimečně.

*Věta*: Včerejší zkoušku u profesora Nováka nesložili žádní doktorandi.";TRUE;TRUE;FALSE;zadny;bottom
AcceptContextTask;4;no;2;ZTop;47;1;2;"*Kontext*: Za opravení pračky si za den opravář vezme 3000 Kč, někdy 5000 Kč a ve výjimečných případech 9000 Kč.

*Věta*: Včera si opravář za spravení pračky nevzal žádných 9000 Kč.";TRUE;TRUE;FALSE;zadny;top
